promotions_sample
semana_fiscal,fecha_inicio,fecha_fin,tipo_promo,categoria,descripcion,md_pct
18,2023-05-29,2023-06-04,WkndPromo,Accesorios,Bolsos & Cinturones & Accesorios B2G1 (3 al 5),33
18,2023-05-29,2023-06-04,OtherPromo,Niños,Colección infantil B1G1 50% off (10 al 12),50
18,2023-05-29,2023-06-04,DD,Mujer,B3G1 blusas verano,25
19,2023-06-05,2023-06-11,WkndPromo,Hombre,Colección Hombre + Sport B2G2 (10 al 12),33
19,2023-06-05,2023-06-11,DD,Mujer,B3G1 blusas verano,25
20,2023-06-12,2023-06-18,WkndPromo,Hombre,Colección Hombre 40% off / toda ropa B1G1 50% (17 al 19),40
20,2023-06-12,2023-06-18,DD,Hombre,B3G1 camisas,25
21,2023-06-19,2023-06-25,WkndPromo,Mujer,GRAN VENTA VERANO - 30% y 40% off / Seleccionados $749,35
21,2023-06-19,2023-06-25,OtherPromo,Mujer,Inicio Gran Venta - Accesorio gratis con compra de $699,15
21,2023-06-19,2023-06-25,DD,Mujer,B2G1 / seleccionados $249,33
22,2023-06-26,2023-07-02,WkndPromo,Mujer,Gran Venta - 40% off / Seleccionados $749 / Liquidación 65%,40
22,2023-06-26,2023-07-02,OtherPromo,Calzado,Tenis temporada anterior 40% off (1 julio),40
22,2023-06-26,2023-07-02,DD,Accesorios,B1G1 50% off accesorios,50
23,2023-07-03,2023-07-09,WkndPromo,Mujer,Gran Venta - 40% & 50% off / Seleccionados $699 / Liquidación 70%,45
23,2023-07-03,2023-07-09,DD,Accesorios,B1G1 50% off accesorios,50
24,2023-07-10,2023-07-16,WkndPromo,Mujer,Gran Venta - 50% off / Seleccionados $699 / Liquidación 75%,50
24,2023-07-10,2023-07-16,OtherPromo,Calzado,Botas temporada anterior B2G1 (15 al 17),33
24,2023-07-10,2023-07-16,DD,Mujer,B3G1 seleccionados $149,25
25,2023-07-17,2023-07-23,WkndPromo,Mujer,Gran Venta - 50%+20% off / Seleccionados $449 / Liquidación 75%,55
25,2023-07-17,2023-07-23,DD,Mujer,B3G1 seleccionados $149,25
26,2023-07-24,2023-07-30,WkndPromo,Mujer,Últimos días Gran Venta - hasta 80% off,60
26,2023-07-24,2023-07-30,DD,Calzado,B3G1 calzado seleccionado,25
27,2023-07-31,2023-08-06,WkndPromo,Niños,Floorset Otoño Mix & Match B2G1 (29 al 31),33
27,2023-07-31,2023-08-06,DD,Calzado,B3G1 calzado seleccionado,25
28,2023-08-07,2023-08-13,WkndPromo,Calzado,Todo calzado & accesorios Mix & Match B2G1 (5 al 7),33
28,2023-08-07,2023-08-13,DD,Hombre,B2G1 camisas,33
29,2023-08-14,2023-08-20,WkndPromo,Mujer,Weekend Especial - toda ropa B1G1 50% off (12 al 15),50
29,2023-08-14,2023-08-20,DD,Hombre,B2G1 camisas,33
30,2023-08-21,2023-08-27,WkndPromo,Niños,Regreso a Clases - Ropa Niños $249 c/u (18 al 21),25
30,2023-08-21,2023-08-27,OtherPromo,Niños,Regreso a Clases - Uniformes y ropa escolar 20% off (16 al 31),20
30,2023-08-21,2023-08-27,DD,Niños,B3G2 ropa infantil (26 al 28),20
31,2023-08-28,2023-09-03,WkndPromo,Accesorios,Evento Accesorios - Bolsos & Cinturones $169 (3 y 4 sept),30
31,2023-08-28,2023-09-03,OtherPromo,Hombre,Colección Sport Hombre $219 (3 y 4 sept),20
31,2023-08-28,2023-09-03,DD,Niños,B3G2 ropa infantil,20
32,2023-09-04,2023-09-10,WkndPromo,Mujer,Floorset Otoño - Mujer & Niños B2G1 (9 al 11),33
32,2023-09-04,2023-09-10,DD,Mujer,B2G1 vestidos otoño,33
33,2023-09-11,2023-09-17,WkndPromo,Hombre,Floorset Hombre B2G2 Mix & Match (15 al 18),33
33,2023-09-11,2023-09-17,DD,Mujer,B2G1 vestidos otoño,33
34,2023-09-18,2023-09-24,WkndPromo,Calzado,Todo calzado & accesorios B1G1 50% off (23 al 25),50
34,2023-09-18,2023-09-24,OtherPromo,Calzado,Botas otoño seleccionadas B1G1 (26 sept),50
34,2023-09-18,2023-09-24,DD,Hombre,B2G1 pantalones,33
35,2023-09-25,2023-10-01,WkndPromo,Niños,Colección infantil B1G1 50% off (30 sept al 2 oct),50
35,2023-09-25,2023-10-01,DD,Hombre,B2G1 pantalones,33
36,2023-10-02,2023-10-08,WkndPromo,Mujer,Total Mujer B3G2 / B2G1 (7 al 9 oct),33
36,2023-10-02,2023-10-08,OtherPromo,Calzado,Botas otoño B2$999 (7 al 9),15
36,2023-10-02,2023-10-08,DD,Mujer,B3G2 colección otoño,20
37,2023-10-09,2023-10-15,WkndPromo,Accesorios,"Accesorios TITBI $289 / Bolsos B2G2 (14, 15 y 16)",20
37,2023-10-09,2023-10-15,DD,Mujer,B3G2 colección otoño,20
38,2023-10-16,2023-10-22,WkndPromo,Calzado,Botas B2G1 / Calzado casual B3G2 (21 al 23),33
38,2023-10-16,2023-10-22,OtherPromo,Mujer,Todo ropa mujer B1G1 50% off (21 al 23),50
38,2023-10-16,2023-10-22,DD,Calzado,B2G1 calzado otoño,33
39,2023-10-23,2023-10-29,WkndPromo,Niños,Colección Halloween M&M B2G1 (28 al 30) / Disfraces B2G2 (28 al 31),33
39,2023-10-23,2023-10-29,OtherPromo,Mujer,Preview Colección Navidad - Oct 24,20
39,2023-10-23,2023-10-29,DD,Calzado,B2G1 calzado otoño,33
40,2023-10-30,2023-11-05,WkndPromo,Mujer,Día de Moda - Toda la tienda $229 c/u (5 y 6 nov),25
40,2023-10-30,2023-11-05,DD,Mujer,B2G1 colección invierno,33
41,2023-11-06,2023-11-12,WkndPromo,Niños,Colección Navidad Niños $289 / Pijamas $199 (12 y 13 nov),30
41,2023-11-06,2023-11-12,OtherPromo,Hombre,Single's Day - Todo Hombre B1G1 (nov 11),50
41,2023-11-06,2023-11-12,DD,Mujer,B2G1 colección invierno,33
42,2023-11-13,2023-11-19,WkndPromo,Mujer,"Apertura nueva tienda - 40% off primeros 40 clientes $1,500+",40
42,2023-11-13,2023-11-19,DD,Hombre,B2G1 suéteres,33
43,2023-11-20,2023-11-26,WkndPromo,Mujer,BUEN FIN - 4x2 toda la tienda (17 al 21 nov),75
43,2023-11-20,2023-11-26,OtherPromo,Calzado,Buen Fin - Calzado 50% off (22 al 27),50
43,2023-11-20,2023-11-26,DD,Hombre,B2G1 suéteres,33
44,2023-11-27,2023-12-03,WkndPromo,Calzado,Colección Navidad B2G1 (24 al 27),33
44,2023-11-27,2023-12-03,OtherPromo,Mujer,Pre-Venta Navideña en línea a las 9pm,20
44,2023-11-27,2023-12-03,DD,Mujer,B2G1 colección navideña,33
45,2023-12-04,2023-12-10,WkndPromo,Accesorios,Super Venta Accesorios $299 (3 y 4 dic),40
45,2023-12-04,2023-12-10,DD,Mujer,B2G1 colección navideña,33
46,2023-12-11,2023-12-17,WkndPromo,Mujer,Super Sábado - Todo Mujer B3G3 (9 al 11),33
46,2023-12-11,2023-12-17,OtherPromo,Niños,Pijamas Navideñas B2G1 (9 al 11),33
46,2023-12-11,2023-12-17,DD,Niños,B3G3 ropa infantil navideña,25
47,2023-12-18,2023-12-24,WkndPromo,Mujer,Colección Navidad + Conjuntos B2G2 (16 al 25 dic),33
47,2023-12-18,2023-12-24,OtherPromo,Accesorios,"Accesorios gratis con compra de $1,500 (15 dic)",15
47,2023-12-18,2023-12-24,DD,Mujer,B3G3 colección navideña,25
47,2023-12-18,2023-12-24,DD,Niños,B3G3 pijamas navideñas,25
