semana_fiscal,tienda,trafico,transacciones,tasa_conversion_pct
25,Tienda Poniente,1529,251,16.4
26,Tienda Norte,2313,324,14.0
26,Tienda Sur,1226,143,11.7
26,Tienda Centro,1828,238,13.0
26,Tienda Oriente,1388,161,11.6
26,Tienda Poniente,1649,229,13.9
27,Tienda Norte,1750,247,14.2
27,Tienda Sur,884,100,11.3
27,Tienda Centro,1240,151,12.2
27,Tienda Oriente,1217,137,11.3
27,Tienda Poniente,1306,170,13.1
28,Tienda Norte,1592,192,12.1
28,Tienda Sur,863,101,11.8
28,Tienda Centro,1452,177,12.2
28,Tienda Oriente,1195,132,11.1
28,Tienda Poniente,1098,136,12.5
29,Tienda Norte,2371,350,14.8
29,Tienda Sur,1078,133,12.4
29,Tienda Centro,1622,214,13.2
29,Tienda Oriente,1449,188,13.0
29,Tienda Poniente,1539,217,14.1
30,Tienda Norte,2298,356,15.5
30,Tienda Sur,1194,167,14.1
30,Tienda Centro,1790,262,14.7
30,Tienda Oriente,1477,198,13.4
30,Tienda Poniente,1722,281,16.3
31,Tienda Norte,1847,192,10.4
31,Tienda Sur,796,79,10.0
31,Tienda Centro,1475,147,10.0
31,Tienda Oriente,1041,104,10.0
31,Tienda Poniente,1306,131,10.1
32,Tienda Norte,2259,379,16.8
32,Tienda Sur,1225,149,12.2
32,Tienda Centro,1818,276,15.2
32,Tienda Oriente,1446,192,13.3
32,Tienda Poniente,1618,269,16.7
33,Tienda Norte,1703,244,14.4
33,Tienda Sur,803,87,10.9
33,Tienda Centro,1261,141,11.3
33,Tienda Oriente,1136,134,11.9
33,Tienda Poniente,1194,142,12.0
34,Tienda Norte,2183,342,15.7
34,Tienda Sur,1049,133,12.7
34,Tienda Centro,1664,233,14.0
34,Tienda Oriente,1200,164,13.7
34,Tienda Poniente,1365,218,16.0
35,Tienda Norte,1996,276,13.8
35,Tienda Sur,863,92,10.7
35,Tienda Centro,1480,167,11.3
35,Tienda Oriente,1179,122,10.4
35,Tienda Poniente,1334,169,12.7
36,Tienda Norte,2397,403,16.8
36,Tienda Sur,1219,162,13.3
36,Tienda Centro,1578,222,14.1
36,Tienda Oriente,1456,227,15.6
36,Tienda Poniente,1402,220,15.7
37,Tienda Norte,1921,243,12.7
37,Tienda Sur,842,95,11.4
37,Tienda Centro,1271,147,11.6
37,Tienda Oriente,1124,128,11.4
37,Tienda Poniente,1329,166,12.6
38,Tienda Norte,2112,313,14.8
38,Tienda Sur,1162,137,11.8
38,Tienda Centro,1484,207,14.0
38,Tienda Oriente,1416,184,13.0
38,Tienda Poniente,1428,198,13.9
39,Tienda Norte,1704,207,12.2
39,Tienda Sur,977,97,10.0
39,Tienda Centro,1552,157,10.1
39,Tienda Oriente,1003,100,10.0
39,Tienda Poniente,1332,133,10.0
40,Tienda Norte,2295,395,17.2
40,Tienda Sur,1187,161,13.6
40,Tienda Centro,1850,245,13.3
40,Tienda Oriente,1381,206,14.9
40,Tienda Poniente,1447,197,13.7
41,Tienda Norte,2136,348,16.3
41,Tienda Sur,1101,155,14.1
41,Tienda Centro,1612,217,13.5
41,Tienda Oriente,1427,223,15.6
41,Tienda Poniente,1494,243,16.3
42,Tienda Norte,1890,201,10.6
42,Tienda Sur,963,96,10.0
42,Tienda Centro,1468,146,10.0
42,Tienda Oriente,1069,106,10.0
42,Tienda Poniente,1093,116,10.7
43,Tienda Norte,3482,882,25.3
43,Tienda Sur,1782,326,18.3
43,Tienda Centro,2576,601,23.3
43,Tienda Oriente,2000,425,21.3
43,Tienda Poniente,1955,458,23.4
44,Tienda Norte,2233,413,18.5
44,Tienda Sur,1117,162,14.5
44,Tienda Centro,1776,284,16.0
44,Tienda Oriente,1402,231,16.5
44,Tienda Poniente,1690,314,18.6
45,Tienda Norte,2514,449,17.9
45,Tienda Sur,1199,169,14.1
45,Tienda Centro,1938,298,15.4
45,Tienda Oriente,1388,201,14.5
45,Tienda Poniente,1382,213,15.4
46,Tienda Norte,2501,436,17.4
46,Tienda Sur,1193,159,13.4
46,Tienda Centro,1732,301,17.4
46,Tienda Oriente,1592,238,15.0
46,Tienda Poniente,1781,307,17.3
47,Tienda Norte,2861,527,18.4
47,Tienda Sur,1497,240,16.0
47,Tienda Centro,1917,315,16.4
47,Tienda Oriente,1477,227,15.4
47,Tienda Poniente,1919,384,20.0
