fecha,producto,ventas
2023-02-15,Teclado Mecanico,3859.5
2023-02-15,Mouse Inalambrico,4146.14
2023-02-15,Auriculares BT,4291.82
2023-02-16,Laptop Pro,3556.72
2023-02-16,Monitor 4K,3506.24
2023-02-16,Teclado Mecanico,3196.34
2023-02-16,Mouse Inalambrico,3275.73
2023-02-16,Auriculares BT,3453.77
2023-02-17,Laptop Pro,3286.09
2023-02-17,Monitor 4K,3301.49
2023-02-17,Teclado Mecanico,3089.81
2023-02-17,Mouse Inalambrico,2955.06
2023-02-17,Auriculares BT,3029.89
2023-02-18,Laptop Pro,3062.02
2023-02-18,Monitor 4K,3422.1
2023-02-18,Teclado Mecanico,2830.96
2023-02-18,Mouse Inalambrico,3226.76
2023-02-18,Auriculares BT,3383.39
2023-02-19,Laptop Pro,3999.98
2023-02-19,Monitor 4K,3709.84
2023-02-19,Teclado Mecanico,3895.83
2023-02-19,Mouse Inalambrico,3615.78
2023-02-19,Auriculares BT,3546.7
2023-02-20,Laptop Pro,3962.68
2023-02-20,Monitor 4K,4403.03
2023-02-20,Teclado Mecanico,4296.4
2023-02-20,Mouse Inalambrico,4195.04
2023-02-20,Auriculares BT,4763.61
2023-02-21,Laptop Pro,4198.53
2023-02-21,Monitor 4K,4329.07
2023-02-21,Teclado Mecanico,4266.51
2023-02-21,Mouse Inalambrico,4160.62
2023-02-21,Auriculares BT,4668.23
2023-02-22,Laptop Pro,4246.5
2023-02-22,Monitor 4K,3665.28
2023-02-22,Teclado Mecanico,3865.21
2023-02-22,Mouse Inalambrico,4030.85
2023-02-22,Auriculares BT,4101.82
2023-02-23,Laptop Pro,3252.13
2023-02-23,Monitor 4K,3070.7
2023-02-23,Teclado Mecanico,3140.54
2023-02-23,Mouse Inalambrico,3507.59
2023-02-23,Auriculares BT,3501.17
2023-02-24,Laptop Pro,3330.67
2023-02-24,Monitor 4K,3107.69
2023-02-24,Teclado Mecanico,3016.78
2023-02-24,Mouse Inalambrico,2857.02
2023-02-24,Auriculares BT,3327.46
2023-02-25,Laptop Pro,3442.33
2023-02-25,Monitor 4K,3566.91
2023-02-25,Teclado Mecanico,3526.47
2023-02-25,Mouse Inalambrico,3330.17
2023-02-25,Auriculares BT,3638.17
2023-02-26,Laptop Pro,3741.91
2023-02-26,Monitor 4K,3637.01
2023-02-26,Teclado Mecanico,3665.07
2023-02-26,Mouse Inalambrico,3652.22
2023-02-26,Auriculares BT,3336.03
2023-02-27,Laptop Pro,4201.12
2023-02-27,Monitor 4K,4219.83
2023-02-27,Teclado Mecanico,4097.4
2023-02-27,Mouse Inalambrico,4027.08
2023-02-27,Auriculares BT,4244.21
2023-02-28,Laptop Pro,4619.33
2023-02-28,Monitor 4K,4283.61
2023-02-28,Teclado Mecanico,4174.43
2023-02-28,Mouse Inalambrico,4157.67
2023-02-28,Auriculares BT,4262.01
2023-03-01,Laptop Pro,3761.84
2023-03-01,Monitor 4K,3989.74
2023-03-01,Teclado Mecanico,4027.03
2023-03-01,Mouse Inalambrico,4383.73
2023-03-01,Auriculares BT,4203.49
2023-03-02,Laptop Pro,3796.88
2023-03-02,Monitor 4K,3447.48
2023-03-02,Teclado Mecanico,3724.05
2023-03-02,Mouse Inalambrico,3362.19
2023-03-02,Auriculares BT,3652.46
2023-03-03,Laptop Pro,3412.25
2023-03-03,Monitor 4K,3175.22
2023-03-03,Teclado Mecanico,3728.38
2023-03-03,Mouse Inalambrico,3441.98
2023-03-03,Auriculares BT,2947.96
2023-03-04,Laptop Pro,3544.37
2023-03-04,Monitor 4K,3352.32
2023-03-04,Teclado Mecanico,3434.07
2023-03-04,Mouse Inalambrico,3526.95
2023-03-04,Auriculares BT,3511.9
2023-03-05,Laptop Pro,3425.42
2023-03-05,Monitor 4K,3601.59
2023-03-05,Teclado Mecanico,3987.78
2023-03-05,Mouse Inalambrico,4093.49
2023-03-05,Auriculares BT,4213.88
2023-03-06,Laptop Pro,4593.13
2023-03-06,Monitor 4K,3821.39
2023-03-06,Teclado Mecanico,4386.4
2023-03-06,Mouse Inalambrico,3849.24
2023-03-06,Auriculares BT,4555.22
2023-03-07,Laptop Pro,4387.84
2023-03-07,Monitor 4K,4108.93
2023-03-07,Teclado Mecanico,4739.15
2023-03-07,Mouse Inalambrico,4465.96
2023-03-07,Auriculares BT,3958.94
2023-03-08,Laptop Pro,4133.25
2023-03-08,Monitor 4K,3928.32
2023-03-08,Teclado Mecanico,4096.81
2023-03-08,Mouse Inalambrico,3981.51
2023-03-08,Auriculares BT,4349.25
2023-03-09,Laptop Pro,3363.7
2023-03-09,Monitor 4K,3711.84
2023-03-09,Teclado Mecanico,4011.2
2023-03-09,Mouse Inalambrico,3482.97
2023-03-09,Auriculares BT,3690.49
2023-03-10,Laptop Pro,3425.71
2023-03-10,Monitor 4K,3247.37
2023-03-10,Teclado Mecanico,3514.89
2023-03-10,Mouse Inalambrico,3404.72
2023-03-10,Auriculares BT,3196.56
2023-03-11,Laptop Pro,3841.52
2023-03-11,Monitor 4K,3647.44
2023-03-11,Teclado Mecanico,3455.7
2023-03-11,Mouse Inalambrico,3361.78
2023-03-11,Auriculares BT,3332.25
2023-03-12,Laptop Pro,4133.26
2023-03-12,Monitor 4K,3857.77
2023-03-12,Teclado Mecanico,3978.96
2023-03-12,Mouse Inalambrico,3850.18
2023-03-12,Auriculares BT,4010.35
2023-03-13,Laptop Pro,4261.6
2023-03-13,Monitor 4K,4437.57
2023-03-13,Teclado Mecanico,4248.16
2023-03-13,Mouse Inalambrico,4450.72
2023-03-13,Auriculares BT,4419.28
2023-03-14,Laptop Pro,4364.62
2023-03-14,Monitor 4K,4215.99
2023-03-14,Teclado Mecanico,4199.92
2023-03-14,Mouse Inalambrico,4239.79
2023-03-14,Auriculares BT,4191.04
2023-03-15,Laptop Pro,4296.95
2023-03-15,Monitor 4K,4114.47
2023-03-15,Teclado Mecanico,4437.81
2023-03-15,Mouse Inalambrico,4579.65
2023-03-15,Auriculares BT,4128.63
2023-03-16,Laptop Pro,3386.44
2023-03-16,Monitor 4K,3619.76
2023-03-16,Teclado Mecanico,3680.98
2023-03-16,Mouse Inalambrico,3398.36
2023-03-16,Auriculares BT,3645.95
2023-03-17,Laptop Pro,3488.83
2023-03-17,Monitor 4K,3339.55
2023-03-17,Teclado Mecanico,3277.75
2023-03-17,Mouse Inalambrico,3279.69
2023-03-17,Auriculares BT,3788.78
2023-03-18,Laptop Pro,3501.75
2023-03-18,Monitor 4K,3367.69
2023-03-18,Teclado Mecanico,3459.1
2023-03-18,Mouse Inalambrico,3724.54
2023-03-18,Auriculares BT,3396.74
2023-03-19,Laptop Pro,4026.42
2023-03-19,Monitor 4K,4075.63
2023-03-19,Teclado Mecanico,4079.87
2023-03-19,Mouse Inalambrico,4209.99
2023-03-19,Auriculares BT,3819.95
2023-03-20,Laptop Pro,4552.74
2023-03-20,Monitor 4K,4167.63
2023-03-20,Teclado Mecanico,4246.89
2023-03-20,Mouse Inalambrico,4565.41
2023-03-20,Auriculares BT,4490.67
2023-03-21,Laptop Pro,4428.16
2023-03-21,Monitor 4K,4189.46
2023-03-21,Teclado Mecanico,4540.07
2023-03-21,Mouse Inalambrico,4301.67
2023-03-21,Auriculares BT,4242.97
2023-03-22,Laptop Pro,4032.36
2023-03-22,Monitor 4K,4211.29
2023-03-22,Teclado Mecanico,3737.78
2023-03-22,Mouse Inalambrico,4234.14
2023-03-22,Auriculares BT,4196.77
2023-03-23,Laptop Pro,3615.73
2023-03-23,Monitor 4K,3940.02
2023-03-23,Teclado Mecanico,3854.93
2023-03-23,Mouse Inalambrico,3611.38
2023-03-23,Auriculares BT,3598.63
2023-03-24,Laptop Pro,3605.45
2023-03-24,Monitor 4K,3163.2
2023-03-24,Teclado Mecanico,3399.89
2023-03-24,Mouse Inalambrico,3340.21
2023-03-24,Auriculares BT,3480.39
2023-03-25,Laptop Pro,3609.26
2023-03-25,Monitor 4K,3574.39
2023-03-25,Teclado Mecanico,3794.0
2023-03-25,Mouse Inalambrico,3612.64
2023-03-25,Auriculares BT,3504.03
2023-03-26,Laptop Pro,3719.61
2023-03-26,Monitor 4K,4106.15
2023-03-26,Teclado Mecanico,4067.41
2023-03-26,Mouse Inalambrico,4251.94
2023-03-26,Auriculares BT,3812.29
2023-03-27,Laptop Pro,4361.57
2023-03-27,Monitor 4K,4344.55
2023-03-27,Teclado Mecanico,4338.77
2023-03-27,Mouse Inalambrico,4358.37
2023-03-27,Auriculares BT,4013.38
2023-03-28,Laptop Pro,4621.2
2023-03-28,Monitor 4K,4586.84
2023-03-28,Teclado Mecanico,4682.29
2023-03-28,Mouse Inalambrico,4906.11
2023-03-28,Auriculares BT,4392.41
2023-03-29,Laptop Pro,4181.57
2023-03-29,Monitor 4K,4190.76
2023-03-29,Teclado Mecanico,4577.24
2023-03-29,Mouse Inalambrico,3842.56
2023-03-29,Auriculares BT,4285.96
2023-03-30,Laptop Pro,3463.64
2023-03-30,Monitor 4K,3241.49
2023-03-30,Teclado Mecanico,3353.64
2023-03-30,Mouse Inalambrico,3481.45
2023-03-30,Auriculares BT,3971.61
2023-03-31,Laptop Pro,3316.26
2023-03-31,Monitor 4K,3444.44
2023-03-31,Teclado Mecanico,3257.23
2023-03-31,Mouse Inalambrico,3612.13
2023-03-31,Auriculares BT,3269.54
2023-04-01,Laptop Pro,3852.43
2023-04-01,Monitor 4K,3390.28
2023-04-01,Teclado Mecanico,3435.93
2023-04-01,Mouse Inalambrico,3613.45
2023-04-01,Auriculares BT,3593.84
2023-04-02,Laptop Pro,4266.93
2023-04-02,Monitor 4K,4006.07
2023-04-02,Teclado Mecanico,3740.43
2023-04-02,Mouse Inalambrico,3869.93
2023-04-02,Auriculares BT,3867.44
2023-04-03,Laptop Pro,4519.86
2023-04-03,Monitor 4K,4451.61
2023-04-03,Teclado Mecanico,4350.97
2023-04-03,Mouse Inalambrico,4548.77
2023-04-03,Auriculares BT,4269.15
2023-04-04,Laptop Pro,4445.85
2023-04-04,Monitor 4K,4509.25
2023-04-04,Teclado Mecanico,4778.74
2023-04-04,Mouse Inalambrico,4453.39
2023-04-04,Auriculares BT,4402.94
2023-04-05,Laptop Pro,3994.88
2023-04-05,Monitor 4K,4341.26
2023-04-05,Teclado Mecanico,4086.52
2023-04-05,Mouse Inalambrico,4272.78
2023-04-05,Auriculares BT,3823.72
2023-04-06,Laptop Pro,3980.03
2023-04-06,Monitor 4K,3505.0
2023-04-06,Teclado Mecanico,3615.92
2023-04-06,Mouse Inalambrico,3983.11
2023-04-06,Auriculares BT,3504.5
2023-04-07,Laptop Pro,3485.97
2023-04-07,Monitor 4K,3516.71
2023-04-07,Teclado Mecanico,3302.15
2023-04-07,Mouse Inalambrico,3770.45
2023-04-07,Auriculares BT,3801.62
2023-04-08,Laptop Pro,3204.85
2023-04-08,Monitor 4K,3309.37
2023-04-08,Teclado Mecanico,3760.81
2023-04-08,Mouse Inalambrico,3338.56
2023-04-08,Auriculares BT,3521.44
2023-04-09,Laptop Pro,4016.52
2023-04-09,Monitor 4K,4128.98
2023-04-09,Teclado Mecanico,3945.95
2023-04-09,Mouse Inalambrico,4009.65
2023-04-09,Auriculares BT,3835.26
2023-04-10,Laptop Pro,4640.28
2023-04-10,Monitor 4K,4282.74
2023-04-10,Teclado Mecanico,4449.75
2023-04-10,Mouse Inalambrico,4279.48
2023-04-10,Auriculares BT,4403.07
2023-04-11,Laptop Pro,4444.77
2023-04-11,Monitor 4K,4445.91
2023-04-11,Teclado Mecanico,4275.65
2023-04-11,Mouse Inalambrico,4637.69
2023-04-11,Auriculares BT,4761.21
2023-04-12,Laptop Pro,4256.33
2023-04-12,Monitor 4K,4354.17
2023-04-12,Teclado Mecanico,4375.31
2023-04-12,Mouse Inalambrico,4393.3
2023-04-12,Auriculares BT,4268.37
2023-04-13,Laptop Pro,3815.85
2023-04-13,Monitor 4K,3946.2
2023-04-13,Teclado Mecanico,3787.17
2023-04-13,Mouse Inalambrico,3578.62
2023-04-13,Auriculares BT,3778.17
2023-04-14,Laptop Pro,3124.54
2023-04-14,Monitor 4K,3501.05
2023-04-14,Teclado Mecanico,3584.9
2023-04-14,Mouse Inalambrico,3749.42
2023-04-14,Auriculares BT,3532.48
2023-04-15,Laptop Pro,3783.52
2023-04-15,Monitor 4K,3597.79
2023-04-15,Teclado Mecanico,3393.2
2023-04-15,Mouse Inalambrico,3315.62
2023-04-15,Auriculares BT,3403.95
2023-04-16,Laptop Pro,3714.47
2023-04-16,Monitor 4K,4114.44
2023-04-16,Teclado Mecanico,3946.17
2023-04-16,Mouse Inalambrico,4101.76
2023-04-16,Auriculares BT,4002.38
2023-04-17,Laptop Pro,4586.08
2023-04-17,Monitor 4K,4589.3
2023-04-17,Teclado Mecanico,4248.2
2023-04-17,Mouse Inalambrico,4322.4
2023-04-17,Auriculares BT,4270.7
2023-04-18,Laptop Pro,4147.98
2023-04-18,Monitor 4K,4607.28
2023-04-18,Teclado Mecanico,4710.0
2023-04-18,Mouse Inalambrico,4470.95
2023-04-18,Auriculares BT,4373.6
2023-04-19,Laptop Pro,4418.1
2023-04-19,Monitor 4K,3730.92
2023-04-19,Teclado Mecanico,4235.41
2023-04-19,Mouse Inalambrico,4228.57
2023-04-19,Auriculares BT,4085.74
2023-04-20,Laptop Pro,4042.32
2023-04-20,Monitor 4K,3958.15
2023-04-20,Teclado Mecanico,3711.77
2023-04-20,Mouse Inalambrico,3746.66
2023-04-20,Auriculares BT,3686.4
2023-04-21,Laptop Pro,3388.8
2023-04-21,Monitor 4K,3229.59
2023-04-21,Teclado Mecanico,3767.21
2023-04-21,Mouse Inalambrico,3696.83
2023-04-21,Auriculares BT,3650.86
2023-04-22,Laptop Pro,3366.43
2023-04-22,Monitor 4K,4001.46
2023-04-22,Teclado Mecanico,3981.33
2023-04-22,Mouse Inalambrico,3622.9
2023-04-22,Auriculares BT,3404.45
2023-04-23,Laptop Pro,3800.22
2023-04-23,Monitor 4K,4057.21
2023-04-23,Teclado Mecanico,3790.9
2023-04-23,Mouse Inalambrico,3966.66
2023-04-23,Auriculares BT,4191.23
2023-04-24,Laptop Pro,4060.13
2023-04-24,Monitor 4K,4762.64
2023-04-24,Teclado Mecanico,4674.84
2023-04-24,Mouse Inalambrico,4114.08
2023-04-24,Auriculares BT,4078.77
2023-04-25,Laptop Pro,4398.21
2023-04-25,Monitor 4K,4248.67
2023-04-25,Teclado Mecanico,4402.15
2023-04-25,Mouse Inalambrico,3938.66
2023-04-25,Auriculares BT,4409.16
2023-04-26,Laptop Pro,4541.58
2023-04-26,Monitor 4K,3957.69
2023-04-26,Teclado Mecanico,4126.4
2023-04-26,Mouse Inalambrico,3883.09
2023-04-26,Auriculares BT,4308.66
2023-04-27,Laptop Pro,3698.48
2023-04-27,Monitor 4K,4131.69
2023-04-27,Teclado Mecanico,3784.91
2023-04-27,Mouse Inalambrico,3669.11
2023-04-27,Auriculares BT,3853.6
2023-04-28,Laptop Pro,3367.98
2023-04-28,Monitor 4K,3201.36
2023-04-28,Teclado Mecanico,3529.61
2023-04-28,Mouse Inalambrico,3434.25
2023-04-28,Auriculares BT,3502.48
2023-04-29,Laptop Pro,3636.85
2023-04-29,Monitor 4K,3459.69
2023-04-29,Teclado Mecanico,3646.07
2023-04-29,Mouse Inalambrico,3909.3
2023-04-29,Auriculares BT,3340.2
2023-04-30,Laptop Pro,4295.93
2023-04-30,Monitor 4K,3899.89
2023-04-30,Teclado Mecanico,3795.12
2023-04-30,Mouse Inalambrico,4433.89
2023-04-30,Auriculares BT,3979.45
2023-05-01,Laptop Pro,4609.01
2023-05-01,Monitor 4K,4498.44
2023-05-01,Teclado Mecanico,3998.81
2023-05-01,Mouse Inalambrico,4359.09
2023-05-01,Auriculares BT,4229.86
2023-05-02,Laptop Pro,4158.47
2023-05-02,Monitor 4K,4072.49
2023-05-02,Teclado Mecanico,4447.29
2023-05-02,Mouse Inalambrico,4544.88
2023-05-02,Auriculares BT,4504.96
2023-05-03,Laptop Pro,4090.29
2023-05-03,Monitor 4K,3991.75
2023-05-03,Teclado Mecanico,3954.08
2023-05-03,Mouse Inalambrico,4040.42
2023-05-03,Auriculares BT,3944.84
2023-05-04,Laptop Pro,3671.86
2023-05-04,Monitor 4K,3707.94
2023-05-04,Teclado Mecanico,3533.32
2023-05-04,Mouse Inalambrico,3666.11
2023-05-04,Auriculares BT,3560.45
2023-05-05,Laptop Pro,3435.84
2023-05-05,Monitor 4K,3538.15
2023-05-05,Teclado Mecanico,3472.36
2023-05-05,Mouse Inalambrico,3531.17
2023-05-05,Auriculares BT,3106.33
2023-05-06,Laptop Pro,3452.09
2023-05-06,Monitor 4K,3583.17
2023-05-06,Teclado Mecanico,3656.06
2023-05-06,Mouse Inalambrico,3208.22
2023-05-06,Auriculares BT,3559.66
2023-05-07,Laptop Pro,4154.37
2023-05-07,Monitor 4K,3877.36
2023-05-07,Teclado Mecanico,3894.13
2023-05-07,Mouse Inalambrico,4003.17
2023-05-07,Auriculares BT,3962.51
2023-05-08,Laptop Pro,4433.07
2023-05-08,Monitor 4K,4312.63
2023-05-08,Teclado Mecanico,4328.65
2023-05-08,Mouse Inalambrico,4141.66
2023-05-08,Auriculares BT,4264.06
2023-05-09,Laptop Pro,4639.27
2023-05-09,Monitor 4K,4347.81
2023-05-09,Teclado Mecanico,4354.94
2023-05-09,Mouse Inalambrico,4290.35
2023-05-09,Auriculares BT,4546.09
2023-05-10,Laptop Pro,3940.95
2023-05-10,Monitor 4K,4293.99
2023-05-10,Teclado Mecanico,3924.49
2023-05-10,Mouse Inalambrico,3900.33
2023-05-10,Auriculares BT,4153.08
2023-05-11,Laptop Pro,3697.61
2023-05-11,Monitor 4K,3731.09
2023-05-11,Teclado Mecanico,3884.09
2023-05-11,Mouse Inalambrico,3589.08
2023-05-11,Auriculares BT,3760.18
2023-05-12,Laptop Pro,3212.48
2023-05-12,Monitor 4K,3646.28
2023-05-12,Teclado Mecanico,3520.94
2023-05-12,Mouse Inalambrico,3501.75
2023-05-12,Auriculares BT,3432.02
2023-05-13,Laptop Pro,3327.08
2023-05-13,Monitor 4K,3418.72
2023-05-13,Teclado Mecanico,3584.55
2023-05-13,Mouse Inalambrico,3480.36
2023-05-13,Auriculares BT,3508.94
