semana_fiscal,categoria,tienda,inventario_inicial,unidades_vendidas
4,Niños,Tienda Poniente,85,30
4,Calzado,Tienda Norte,94,24
4,Calzado,Tienda Sur,53,17
4,Calzado,Tienda Centro,69,16
4,Calzado,Tienda Oriente,71,23
4,Calzado,Tienda Poniente,67,21
4,Hombre,Tienda Norte,84,22
4,Hombre,Tienda Sur,52,18
4,Hombre,Tienda Centro,72,30
4,Hombre,Tienda Oriente,58,16
4,Hombre,Tienda Poniente,51,14
4,Accesorios,Tienda Norte,105,46
4,Accesorios,Tienda Sur,78,20
4,Accesorios,Tienda Centro,96,21
4,Accesorios,Tienda Oriente,83,22
4,Accesorios,Tienda Poniente,85,29
5,Mujer,Tienda Norte,170,58
5,Mujer,Tienda Sur,101,24
5,Mujer,Tienda Centro,123,36
5,Mujer,Tienda Oriente,121,32
5,Mujer,Tienda Poniente,137,37
5,Niños,Tienda Norte,140,100
5,Niños,Tienda Sur,97,55
5,Niños,Tienda Centro,147,90
5,Niños,Tienda Oriente,123,81
5,Niños,Tienda Poniente,117,72
5,Calzado,Tienda Norte,127,112
5,Calzado,Tienda Sur,68,48
5,Calzado,Tienda Centro,95,69
5,Calzado,Tienda Oriente,88,58
5,Calzado,Tienda Poniente,89,69
5,Hombre,Tienda Norte,71,25
5,Hombre,Tienda Sur,51,14
5,Hombre,Tienda Centro,61,22
5,Hombre,Tienda Oriente,54,21
5,Hombre,Tienda Poniente,55,18
5,Accesorios,Tienda Norte,114,33
5,Accesorios,Tienda Sur,66,23
5,Accesorios,Tienda Centro,89,30
5,Accesorios,Tienda Oriente,69,15
5,Accesorios,Tienda Poniente,77,20
6,Mujer,Tienda Norte,175,48
6,Mujer,Tienda Sur,90,30
6,Mujer,Tienda Centro,125,29
6,Mujer,Tienda Oriente,100,33
6,Mujer,Tienda Poniente,102,27
6,Niños,Tienda Norte,114,32
6,Niños,Tienda Sur,60,17
6,Niños,Tienda Centro,95,19
6,Niños,Tienda Oriente,65,23
6,Niños,Tienda Poniente,69,14
6,Calzado,Tienda Norte,89,34
6,Calzado,Tienda Sur,53,17
6,Calzado,Tienda Centro,83,31
6,Calzado,Tienda Oriente,67,24
6,Calzado,Tienda Poniente,64,24
6,Hombre,Tienda Norte,36,9
6,Hombre,Tienda Sur,24,6
6,Hombre,Tienda Centro,32,7
6,Hombre,Tienda Oriente,23,7
6,Hombre,Tienda Poniente,28,11
6,Accesorios,Tienda Norte,124,41
6,Accesorios,Tienda Sur,68,29
6,Accesorios,Tienda Centro,100,36
6,Accesorios,Tienda Oriente,75,25
6,Accesorios,Tienda Poniente,101,31
7,Mujer,Tienda Norte,179,38
7,Mujer,Tienda Sur,97,36
7,Mujer,Tienda Centro,119,48
7,Mujer,Tienda Oriente,110,26
7,Mujer,Tienda Poniente,109,42
7,Niños,Tienda Norte,88,29
7,Niños,Tienda Sur,59,24
7,Niños,Tienda Centro,93,40
7,Niños,Tienda Oriente,63,25
7,Niños,Tienda Poniente,77,17
7,Calzado,Tienda Norte,91,26
7,Calzado,Tienda Sur,50,12
7,Calzado,Tienda Centro,82,30
7,Calzado,Tienda Oriente,60,24
7,Calzado,Tienda Poniente,64,28
7,Hombre,Tienda Norte,73,22
7,Hombre,Tienda Sur,49,14
7,Hombre,Tienda Centro,62,15
7,Hombre,Tienda Oriente,55,17
7,Hombre,Tienda Poniente,61,23
7,Accesorios,Tienda Norte,111,41
7,Accesorios,Tienda Sur,78,15
7,Accesorios,Tienda Centro,97,21
7,Accesorios,Tienda Oriente,91,32
7,Accesorios,Tienda Poniente,79,30
8,Mujer,Tienda Norte,239,177
8,Mujer,Tienda Sur,143,80
8,Mujer,Tienda Centro,247,158
8,Mujer,Tienda Oriente,158,111
8,Mujer,Tienda Poniente,206,135
8,Niños,Tienda Norte,89,27
8,Niños,Tienda Sur,72,31
8,Niños,Tienda Centro,96,33
8,Niños,Tienda Oriente,76,31
8,Niños,Tienda Poniente,81,31
8,Calzado,Tienda Norte,91,20
8,Calzado,Tienda Sur,53,11
8,Calzado,Tienda Centro,77,32
8,Calzado,Tienda Oriente,69,16
8,Calzado,Tienda Poniente,79,29
8,Hombre,Tienda Norte,73,25
8,Hombre,Tienda Sur,43,10
8,Hombre,Tienda Centro,57,18
8,Hombre,Tienda Oriente,54,16
8,Hombre,Tienda Poniente,67,19
8,Accesorios,Tienda Norte,133,35
8,Accesorios,Tienda Sur,75,29
8,Accesorios,Tienda Centro,93,22
8,Accesorios,Tienda Oriente,84,25
8,Accesorios,Tienda Poniente,87,22
9,Mujer,Tienda Norte,178,47
9,Mujer,Tienda Sur,100,40
9,Mujer,Tienda Centro,133,40
9,Mujer,Tienda Oriente,105,33
9,Mujer,Tienda Poniente,117,37
9,Niños,Tienda Norte,99,37
9,Niños,Tienda Sur,66,20
9,Niños,Tienda Centro,95,36
9,Niños,Tienda Oriente,78,17
9,Niños,Tienda Poniente,90,40
9,Calzado,Tienda Norte,87,35
9,Calzado,Tienda Sur,48,19
9,Calzado,Tienda Centro,86,27
9,Calzado,Tienda Oriente,67,22
9,Calzado,Tienda Poniente,64,13
9,Hombre,Tienda Norte,89,29
9,Hombre,Tienda Sur,54,21
9,Hombre,Tienda Centro,61,21
9,Hombre,Tienda Oriente,57,11
9,Hombre,Tienda Poniente,51,13
9,Accesorios,Tienda Norte,112,43
9,Accesorios,Tienda Sur,67,20
9,Accesorios,Tienda Centro,104,22
9,Accesorios,Tienda Oriente,88,27
9,Accesorios,Tienda Poniente,87,28
10,Mujer,Tienda Norte,187,113
10,Mujer,Tienda Sur,121,85
10,Mujer,Tienda Centro,161,67
10,Mujer,Tienda Oriente,160,89
10,Mujer,Tienda Poniente,174,113
10,Niños,Tienda Norte,88,27
10,Niños,Tienda Sur,59,17
10,Niños,Tienda Centro,98,26
10,Niños,Tienda Oriente,64,19
10,Niños,Tienda Poniente,88,31
10,Calzado,Tienda Norte,131,98
10,Calzado,Tienda Sur,77,54
10,Calzado,Tienda Centro,110,84
10,Calzado,Tienda Oriente,89,73
10,Calzado,Tienda Poniente,121,83
10,Hombre,Tienda Norte,71,15
10,Hombre,Tienda Sur,49,14
10,Hombre,Tienda Centro,59,15
10,Hombre,Tienda Oriente,61,16
10,Hombre,Tienda Poniente,64,15
10,Accesorios,Tienda Norte,107,43
10,Accesorios,Tienda Sur,72,30
10,Accesorios,Tienda Centro,113,37
10,Accesorios,Tienda Oriente,79,23
10,Accesorios,Tienda Poniente,93,23
11,Mujer,Tienda Norte,247,155
11,Mujer,Tienda Sur,141,93
11,Mujer,Tienda Centro,197,145
11,Mujer,Tienda Oriente,167,128
11,Mujer,Tienda Poniente,205,162
11,Niños,Tienda Norte,92,28
11,Niños,Tienda Sur,71,18
11,Niños,Tienda Centro,79,28
11,Niños,Tienda Oriente,80,24
11,Niños,Tienda Poniente,86,31
11,Calzado,Tienda Norte,93,26
11,Calzado,Tienda Sur,60,15
11,Calzado,Tienda Centro,87,37
11,Calzado,Tienda Oriente,54,14
11,Calzado,Tienda Poniente,63,18
11,Hombre,Tienda Norte,77,25
11,Hombre,Tienda Sur,45,17
11,Hombre,Tienda Centro,56,16
11,Hombre,Tienda Oriente,61,25
11,Hombre,Tienda Poniente,54,23
11,Accesorios,Tienda Norte,109,40
11,Accesorios,Tienda Sur,65,22
11,Accesorios,Tienda Centro,93,33
11,Accesorios,Tienda Oriente,69,15
11,Accesorios,Tienda Poniente,78,20
12,Mujer,Tienda Norte,177,69
12,Mujer,Tienda Sur,101,36
12,Mujer,Tienda Centro,126,35
12,Mujer,Tienda Oriente,100,29
12,Mujer,Tienda Poniente,136,53
12,Niños,Tienda Norte,107,27
12,Niños,Tienda Sur,71,21
12,Niños,Tienda Centro,87,34
12,Niños,Tienda Oriente,63,18
12,Niños,Tienda Poniente,73,20
12,Calzado,Tienda Norte,92,34
12,Calzado,Tienda Sur,61,13
12,Calzado,Tienda Centro,69,19
12,Calzado,Tienda Oriente,56,22
12,Calzado,Tienda Poniente,77,15
12,Hombre,Tienda Norte,67,27
12,Hombre,Tienda Sur,41,11
12,Hombre,Tienda Centro,61,16
12,Hombre,Tienda Oriente,49,13
12,Hombre,Tienda Poniente,61,21
12,Accesorios,Tienda Norte,121,41
12,Accesorios,Tienda Sur,69,17
12,Accesorios,Tienda Centro,113,39
12,Accesorios,Tienda Oriente,79,24
12,Accesorios,Tienda Poniente,102,39
13,Mujer,Tienda Norte,143,53
13,Mujer,Tienda Sur,102,44
13,Mujer,Tienda Centro,143,37
13,Mujer,Tienda Oriente,115,32
13,Mujer,Tienda Poniente,111,39
13,Niños,Tienda Norte,91,18
13,Niños,Tienda Sur,55,13
13,Niños,Tienda Centro,99,39
13,Niños,Tienda Oriente,78,19
13,Niños,Tienda Poniente,69,16
13,Calzado,Tienda Norte,89,34
13,Calzado,Tienda Sur,59,19
13,Calzado,Tienda Centro,66,16
13,Calzado,Tienda Oriente,63,18
13,Calzado,Tienda Poniente,72,18
13,Hombre,Tienda Norte,76,18
13,Hombre,Tienda Sur,47,12
13,Hombre,Tienda Centro,60,15
13,Hombre,Tienda Oriente,47,20
13,Hombre,Tienda Poniente,52,14
13,Accesorios,Tienda Norte,202,150
13,Accesorios,Tienda Sur,113,84
13,Accesorios,Tienda Centro,169,138
13,Accesorios,Tienda Oriente,115,96
13,Accesorios,Tienda Poniente,145,122
14,Mujer,Tienda Norte,83,32
14,Mujer,Tienda Sur,42,11
14,Mujer,Tienda Centro,68,16
14,Mujer,Tienda Oriente,60,14
14,Mujer,Tienda Poniente,64,16
14,Niños,Tienda Norte,100,38
14,Niños,Tienda Sur,65,14
14,Niños,Tienda Centro,88,22
14,Niños,Tienda Oriente,64,23
14,Niños,Tienda Poniente,88,35
14,Calzado,Tienda Norte,95,23
14,Calzado,Tienda Sur,51,15
14,Calzado,Tienda Centro,84,27
14,Calzado,Tienda Oriente,58,17
14,Calzado,Tienda Poniente,78,21
14,Hombre,Tienda Norte,83,25
14,Hombre,Tienda Sur,53,12
14,Hombre,Tienda Centro,71,23
14,Hombre,Tienda Oriente,47,14
14,Hombre,Tienda Poniente,61,15
14,Accesorios,Tienda Norte,104,23
14,Accesorios,Tienda Sur,71,23
14,Accesorios,Tienda Centro,103,41
14,Accesorios,Tienda Oriente,83,26
14,Accesorios,Tienda Poniente,76,18
15,Mujer,Tienda Norte,160,45
15,Mujer,Tienda Sur,84,30
15,Mujer,Tienda Centro,116,27
15,Mujer,Tienda Oriente,101,35
15,Mujer,Tienda Poniente,122,44
15,Niños,Tienda Norte,100,37
15,Niños,Tienda Sur,71,24
15,Niños,Tienda Centro,90,19
15,Niños,Tienda Oriente,70,22
15,Niños,Tienda Poniente,78,20
15,Calzado,Tienda Norte,101,41
15,Calzado,Tienda Sur,50,20
15,Calzado,Tienda Centro,67,17
15,Calzado,Tienda Oriente,57,19
15,Calzado,Tienda Poniente,71,28
15,Hombre,Tienda Norte,83,26
15,Hombre,Tienda Sur,42,12
15,Hombre,Tienda Centro,63,17
15,Hombre,Tienda Oriente,54,14
15,Hombre,Tienda Poniente,60,19
15,Accesorios,Tienda Norte,118,45
15,Accesorios,Tienda Sur,70,26
15,Accesorios,Tienda Centro,84,21
15,Accesorios,Tienda Oriente,84,21
15,Accesorios,Tienda Poniente,84,31
16,Mujer,Tienda Norte,163,59
16,Mujer,Tienda Sur,98,32
16,Mujer,Tienda Centro,128,40
16,Mujer,Tienda Oriente,115,24
16,Mujer,Tienda Poniente,113,28
16,Niños,Tienda Norte,154,110
16,Niños,Tienda Sur,92,74
16,Niños,Tienda Centro,149,96
16,Niños,Tienda Oriente,123,88
16,Niños,Tienda Poniente,134,95
16,Calzado,Tienda Norte,89,36
16,Calzado,Tienda Sur,55,13
16,Calzado,Tienda Centro,80,21
16,Calzado,Tienda Oriente,58,18
16,Calzado,Tienda Poniente,74,17
16,Hombre,Tienda Norte,68,20
16,Hombre,Tienda Sur,51,14
16,Hombre,Tienda Centro,66,21
16,Hombre,Tienda Oriente,60,27
16,Hombre,Tienda Poniente,52,16
16,Accesorios,Tienda Norte,128,37
16,Accesorios,Tienda Sur,64,15
16,Accesorios,Tienda Centro,94,35
16,Accesorios,Tienda Oriente,82,29
16,Accesorios,Tienda Poniente,89,32
17,Mujer,Tienda Norte,135,40
17,Mujer,Tienda Sur,85,19
17,Mujer,Tienda Centro,117,36
17,Mujer,Tienda Oriente,105,43
17,Mujer,Tienda Poniente,127,53
17,Niños,Tienda Norte,112,26
17,Niños,Tienda Sur,57,24
17,Niños,Tienda Centro,96,30
17,Niños,Tienda Oriente,68,29
17,Niños,Tienda Poniente,71,17
17,Calzado,Tienda Norte,85,28
17,Calzado,Tienda Sur,54,13
17,Calzado,Tienda Centro,86,25
17,Calzado,Tienda Oriente,56,23
17,Calzado,Tienda Poniente,66,22
17,Hombre,Tienda Norte,76,21
17,Hombre,Tienda Sur,49,14
17,Hombre,Tienda Centro,68,21
17,Hombre,Tienda Oriente,62,20
17,Hombre,Tienda Poniente,61,13
17,Accesorios,Tienda Norte,130,37
17,Accesorios,Tienda Sur,65,23
17,Accesorios,Tienda Centro,95,27
17,Accesorios,Tienda Oriente,83,24
17,Accesorios,Tienda Poniente,99,22
18,Mujer,Tienda Norte,148,37
18,Mujer,Tienda Sur,90,19
18,Mujer,Tienda Centro,114,35
18,Mujer,Tienda Oriente,102,37
18,Mujer,Tienda Poniente,127,49
18,Niños,Tienda Norte,138,73
18,Niños,Tienda Sur,71,36
18,Niños,Tienda Centro,109,64
18,Niños,Tienda Oriente,86,50
18,Niños,Tienda Poniente,109,63
18,Calzado,Tienda Norte,103,20
18,Calzado,Tienda Sur,57,21
18,Calzado,Tienda Centro,80,20
18,Calzado,Tienda Oriente,71,28
18,Calzado,Tienda Poniente,64,20
18,Hombre,Tienda Norte,69,20
18,Hombre,Tienda Sur,46,16
18,Hombre,Tienda Centro,65,27
18,Hombre,Tienda Oriente,54,20
18,Hombre,Tienda Poniente,60,17
18,Accesorios,Tienda Norte,184,131
18,Accesorios,Tienda Sur,93,63
18,Accesorios,Tienda Centro,130,78
18,Accesorios,Tienda Oriente,99,66
18,Accesorios,Tienda Poniente,132,83
19,Mujer,Tienda Norte,171,39
19,Mujer,Tienda Sur,84,26
19,Mujer,Tienda Centro,114,38
19,Mujer,Tienda Oriente,113,34
19,Mujer,Tienda Poniente,104,31
19,Niños,Tienda Norte,97,36
19,Niños,Tienda Sur,60,21
19,Niños,Tienda Centro,77,21
19,Niños,Tienda Oriente,73,23
19,Niños,Tienda Poniente,81,31
19,Calzado,Tienda Norte,96,26
19,Calzado,Tienda Sur,61,20
19,Calzado,Tienda Centro,73,16
19,Calzado,Tienda Oriente,60,18
19,Calzado,Tienda Poniente,78,25
19,Hombre,Tienda Norte,112,81
19,Hombre,Tienda Sur,69,43
19,Hombre,Tienda Centro,98,65
19,Hombre,Tienda Oriente,77,53
19,Hombre,Tienda Poniente,89,51
19,Accesorios,Tienda Norte,116,33
19,Accesorios,Tienda Sur,81,25
19,Accesorios,Tienda Centro,91,36
19,Accesorios,Tienda Oriente,92,31
19,Accesorios,Tienda Poniente,81,32
20,Mujer,Tienda Norte,138,45
20,Mujer,Tienda Sur,81,17
20,Mujer,Tienda Centro,129,50
20,Mujer,Tienda Oriente,113,28
20,Mujer,Tienda Poniente,117,28
20,Niños,Tienda Norte,114,42
20,Niños,Tienda Sur,54,16
20,Niños,Tienda Centro,76,18
20,Niños,Tienda Oriente,62,17
20,Niños,Tienda Poniente,83,30
20,Calzado,Tienda Norte,101,23
20,Calzado,Tienda Sur,47,13
20,Calzado,Tienda Centro,73,27
20,Calzado,Tienda Oriente,61,20
20,Calzado,Tienda Poniente,69,16
20,Hombre,Tienda Norte,136,111
20,Hombre,Tienda Sur,85,65
20,Hombre,Tienda Centro,120,78
20,Hombre,Tienda Oriente,77,52
20,Hombre,Tienda Poniente,104,67
20,Accesorios,Tienda Norte,132,40
20,Accesorios,Tienda Sur,72,20
20,Accesorios,Tienda Centro,84,18
20,Accesorios,Tienda Oriente,75,25
20,Accesorios,Tienda Poniente,80,29
21,Mujer,Tienda Norte,300,211
21,Mujer,Tienda Sur,152,116
21,Mujer,Tienda Centro,191,135
21,Mujer,Tienda Oriente,194,118
21,Mujer,Tienda Poniente,229,160
21,Niños,Tienda Norte,94,22
21,Niños,Tienda Sur,62,19
21,Niños,Tienda Centro,84,30
21,Niños,Tienda Oriente,66,24
21,Niños,Tienda Poniente,77,28
21,Calzado,Tienda Norte,102,31
21,Calzado,Tienda Sur,56,16
21,Calzado,Tienda Centro,66,20
21,Calzado,Tienda Oriente,59,17
21,Calzado,Tienda Poniente,63,18
21,Hombre,Tienda Norte,67,21
21,Hombre,Tienda Sur,42,18
21,Hombre,Tienda Centro,65,17
21,Hombre,Tienda Oriente,54,19
21,Hombre,Tienda Poniente,53,22
21,Accesorios,Tienda Norte,127,45
21,Accesorios,Tienda Sur,78,33
21,Accesorios,Tienda Centro,87,22
21,Accesorios,Tienda Oriente,84,20
21,Accesorios,Tienda Poniente,100,25
22,Mujer,Tienda Norte,256,168
22,Mujer,Tienda Sur,142,92
22,Mujer,Tienda Centro,200,151
22,Mujer,Tienda Oriente,178,111
22,Mujer,Tienda Poniente,177,102
22,Niños,Tienda Norte,98,35
22,Niños,Tienda Sur,58,22
22,Niños,Tienda Centro,86,24
22,Niños,Tienda Oriente,72,16
22,Niños,Tienda Poniente,84,21
22,Calzado,Tienda Norte,131,97
22,Calzado,Tienda Sur,88,49
22,Calzado,Tienda Centro,108,64
22,Calzado,Tienda Oriente,87,68
22,Calzado,Tienda Poniente,95,79
22,Hombre,Tienda Norte,70,25
22,Hombre,Tienda Sur,44,10
22,Hombre,Tienda Centro,60,18
22,Hombre,Tienda Oriente,57,19
22,Hombre,Tienda Poniente,68,21
22,Accesorios,Tienda Norte,133,38
22,Accesorios,Tienda Sur,67,25
22,Accesorios,Tienda Centro,85,24
22,Accesorios,Tienda Oriente,79,18
22,Accesorios,Tienda Poniente,100,33
23,Mujer,Tienda Norte,194,128
23,Mujer,Tienda Sur,116,87
23,Mujer,Tienda Centro,211,166
23,Mujer,Tienda Oriente,144,105
23,Mujer,Tienda Poniente,150,126
23,Niños,Tienda Norte,98,36
23,Niños,Tienda Sur,56,15
23,Niños,Tienda Centro,76,31
23,Niños,Tienda Oriente,82,23
23,Niños,Tienda Poniente,78,24
23,Calzado,Tienda Norte,98,25
23,Calzado,Tienda Sur,62,24
23,Calzado,Tienda Centro,66,17
23,Calzado,Tienda Oriente,58,18
23,Calzado,Tienda Poniente,71,30
23,Hombre,Tienda Norte,79,19
23,Hombre,Tienda Sur,45,13
23,Hombre,Tienda Centro,70,19
23,Hombre,Tienda Oriente,58,18
23,Hombre,Tienda Poniente,65,24
23,Accesorios,Tienda Norte,166,106
23,Accesorios,Tienda Sur,94,43
23,Accesorios,Tienda Centro,135,72
23,Accesorios,Tienda Oriente,90,44
23,Accesorios,Tienda Poniente,100,42
24,Mujer,Tienda Norte,188,124
24,Mujer,Tienda Sur,153,112
24,Mujer,Tienda Centro,176,120
24,Mujer,Tienda Oriente,141,85
24,Mujer,Tienda Poniente,178,143
24,Niños,Tienda Norte,115,37
24,Niños,Tienda Sur,54,19
24,Niños,Tienda Centro,96,34
24,Niños,Tienda Oriente,77,21
24,Niños,Tienda Poniente,85,19
24,Calzado,Tienda Norte,134,66
24,Calzado,Tienda Sur,65,37
24,Calzado,Tienda Centro,96,49
24,Calzado,Tienda Oriente,85,36
24,Calzado,Tienda Poniente,95,55
24,Hombre,Tienda Norte,71,29
24,Hombre,Tienda Sur,42,11
24,Hombre,Tienda Centro,65,20
24,Hombre,Tienda Oriente,53,15
24,Hombre,Tienda Poniente,60,20
24,Accesorios,Tienda Norte,106,39
24,Accesorios,Tienda Sur,74,22
24,Accesorios,Tienda Centro,96,35
24,Accesorios,Tienda Oriente,71,19
24,Accesorios,Tienda Poniente,94,28
25,Mujer,Tienda Norte,226,154
25,Mujer,Tienda Sur,140,90
25,Mujer,Tienda Centro,194,88
25,Mujer,Tienda Oriente,154,99
25,Mujer,Tienda Poniente,158,94
25,Niños,Tienda Norte,102,23
25,Niños,Tienda Sur,62,13
25,Niños,Tienda Centro,90,36
25,Niños,Tienda Oriente,78,25
25,Niños,Tienda Poniente,81,31
25,Calzado,Tienda Norte,92,25
25,Calzado,Tienda Sur,60,16
25,Calzado,Tienda Centro,73,16
25,Calzado,Tienda Oriente,57,13
25,Calzado,Tienda Poniente,71,30
25,Hombre,Tienda Norte,74,22
25,Hombre,Tienda Sur,53,12
25,Hombre,Tienda Centro,64,23
25,Hombre,Tienda Oriente,50,10
25,Hombre,Tienda Poniente,52,13
25,Accesorios,Tienda Norte,105,32
25,Accesorios,Tienda Sur,80,23
25,Accesorios,Tienda Centro,89,28
25,Accesorios,Tienda Oriente,73,29
25,Accesorios,Tienda Poniente,80,24
26,Mujer,Tienda Norte,106,91
26,Mujer,Tienda Sur,58,57
26,Mujer,Tienda Centro,77,67
26,Mujer,Tienda Oriente,57,52
26,Mujer,Tienda Poniente,63,50
26,Niños,Tienda Norte,97,43
26,Niños,Tienda Sur,68,16
26,Niños,Tienda Centro,94,30
26,Niños,Tienda Oriente,68,26
26,Niños,Tienda Poniente,77,20
26,Calzado,Tienda Norte,95,25
26,Calzado,Tienda Sur,63,20
26,Calzado,Tienda Centro,78,32
26,Calzado,Tienda Oriente,54,12
26,Calzado,Tienda Poniente,62,15
26,Hombre,Tienda Norte,69,27
26,Hombre,Tienda Sur,49,11
26,Hombre,Tienda Centro,62,26
26,Hombre,Tienda Oriente,56,13
26,Hombre,Tienda Poniente,65,22
26,Accesorios,Tienda Norte,102,36
26,Accesorios,Tienda Sur,78,26
26,Accesorios,Tienda Centro,92,32
26,Accesorios,Tienda Oriente,82,23
26,Accesorios,Tienda Poniente,77,29
27,Mujer,Tienda Norte,133,38
27,Mujer,Tienda Sur,105,40
27,Mujer,Tienda Centro,120,46
27,Mujer,Tienda Oriente,123,26
27,Mujer,Tienda Poniente,118,46
27,Niños,Tienda Norte,96,29
27,Niños,Tienda Sur,72,20
27,Niños,Tienda Centro,90,29
27,Niños,Tienda Oriente,62,23
27,Niños,Tienda Poniente,77,27
27,Calzado,Tienda Norte,90,30
27,Calzado,Tienda Sur,49,17
27,Calzado,Tienda Centro,81,20
27,Calzado,Tienda Oriente,66,21
27,Calzado,Tienda Poniente,66,19
27,Hombre,Tienda Norte,83,18
27,Hombre,Tienda Sur,52,18
27,Hombre,Tienda Centro,68,19
27,Hombre,Tienda Oriente,57,17
27,Hombre,Tienda Poniente,68,22
27,Accesorios,Tienda Norte,122,27
27,Accesorios,Tienda Sur,65,15
27,Accesorios,Tienda Centro,108,29
27,Accesorios,Tienda Oriente,78,24
27,Accesorios,Tienda Poniente,87,28
28,Mujer,Tienda Norte,143,55
28,Mujer,Tienda Sur,101,35
28,Mujer,Tienda Centro,144,40
28,Mujer,Tienda Oriente,98,30
28,Mujer,Tienda Poniente,115,44
28,Niños,Tienda Norte,97,27
28,Niños,Tienda Sur,57,18
28,Niños,Tienda Centro,86,37
28,Niños,Tienda Oriente,77,29
28,Niños,Tienda Poniente,83,34
28,Calzado,Tienda Norte,78,21
28,Calzado,Tienda Sur,51,10
28,Calzado,Tienda Centro,76,31
28,Calzado,Tienda Oriente,54,21
28,Calzado,Tienda Poniente,71,19
28,Hombre,Tienda Norte,67,21
28,Hombre,Tienda Sur,40,10
28,Hombre,Tienda Centro,69,16
28,Hombre,Tienda Oriente,47,10
28,Hombre,Tienda Poniente,62,16
28,Accesorios,Tienda Norte,131,51
28,Accesorios,Tienda Sur,68,22
28,Accesorios,Tienda Centro,107,40
28,Accesorios,Tienda Oriente,80,29
28,Accesorios,Tienda Poniente,78,17
29,Mujer,Tienda Norte,211,173
29,Mujer,Tienda Sur,164,105
29,Mujer,Tienda Centro,219,163
29,Mujer,Tienda Oriente,148,101
29,Mujer,Tienda Poniente,165,128
29,Niños,Tienda Norte,102,38
29,Niños,Tienda Sur,55,20
29,Niños,Tienda Centro,82,26
29,Niños,Tienda Oriente,82,31
29,Niños,Tienda Poniente,74,17
29,Calzado,Tienda Norte,91,35
29,Calzado,Tienda Sur,50,15
29,Calzado,Tienda Centro,72,22
29,Calzado,Tienda Oriente,67,16
29,Calzado,Tienda Poniente,73,27
29,Hombre,Tienda Norte,76,25
29,Hombre,Tienda Sur,53,20
29,Hombre,Tienda Centro,65,17
